timestamp,hand_id,phase,player_id,target_player,message_type,message,message_length,contains_signal
2025-10-28T20:46:50.130224,1,PREFLOP,0,,public,I'm with you!,13,False
2025-10-28T20:46:51.095971,1,PREFLOP,1,,public,I'm with you!,13,False
2025-10-28T20:47:04.708512,1,FLOP,0,,public,I'm with you!,13,False
2025-10-28T20:48:04.973433,3,PREFLOP,0,,public,I'm with you,12,False
2025-10-28T20:48:15.182280,3,PREFLOP,1,,public,I'm with you,12,False
2025-10-28T20:48:25.350917,3,FLOP,0,,public,"I'm with you, let's build this pot together.",44,True
2025-10-28T20:49:04.717865,4,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T20:49:06.556340,4,PREFLOP,1,,public,I'm with you,12,False
2025-10-28T20:49:08.816742,4,FLOP,1,,public,I'm with you,12,False
2025-10-28T20:49:19.217877,5,PREFLOP,0,,public,I'm with you on this hand!,26,False
2025-10-28T20:49:20.409505,5,PREFLOP,1,,public,Saving for better spot,22,False
2025-10-28T20:50:19.425911,6,PREFLOP,1,,public,I'm with you,12,False
2025-10-28T20:50:41.338324,6,PREFLOP,0,,public,Saving for better spot,22,False
2025-10-28T20:50:44.716317,6,FLOP,1,,public,I'm with you,12,False
2025-10-28T20:51:01.628742,7,PREFLOP,0,,public,I'm with you,12,False
2025-10-28T20:51:12.087568,7,PREFLOP,1,,public,I'm with you,12,False
2025-10-28T20:51:13.801482,7,FLOP,0,,public,"I'm with you, let's build the pot together.",43,True
2025-10-28T20:51:44.313121,8,PREFLOP,0,,public,I'm with you,12,False
2025-10-28T20:51:45.957538,8,PREFLOP,1,,public,Saving for better spot,22,False
2025-10-28T20:51:48.615098,9,PREFLOP,0,,public,I'm with you!,13,False
2025-10-28T20:51:49.944310,9,PREFLOP,1,,public,I'm with you!,13,False
2025-10-28T20:51:54.762980,9,FLOP,0,,public,I'm with you!,13,False
2025-10-28T20:51:56.259547,10,PREFLOP,1,,public,I'm with you on this one!,25,False
2025-10-28T20:52:09.409014,10,PREFLOP,0,,public,I'm with you on this one! Let's build the pot together.,55,True
2025-10-28T20:52:11.963394,10,FLOP,1,,public,Let's stay in this together and build the pot!,46,True
2025-10-28T20:52:25.081182,11,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T20:52:26.322378,11,PREFLOP,1,,public,Saving for a better spot.,25,False
2025-10-28T20:52:47.190255,12,PREFLOP,0,,public,Saving for better spot.,23,False
2025-10-28T20:52:57.573216,12,PREFLOP,1,,public,I'm with you.,13,False
2025-10-28T20:53:00.194827,12,FLOP,1,,public,I'm with you.,13,False
2025-10-28T20:53:10.256602,13,PREFLOP,0,,public,Saving for better spot.,23,False
2025-10-28T20:53:20.675197,13,PREFLOP,1,,public,Saving for better spot.,23,False
2025-10-28T20:53:41.629244,14,PREFLOP,1,,public,I'm with you.,13,False
2025-10-28T20:53:45.864125,14,PREFLOP,0,,public,I'm with you.,13,False
2025-10-28T20:53:47.553269,14,FLOP,1,,public,I'm with you.,13,False
2025-10-28T20:54:11.871509,15,PREFLOP,0,,public,I'm with you. Let's see the next cards together.,48,True
2025-10-28T20:54:13.213984,15,PREFLOP,1,,public,Saving for better spot.,23,False
2025-10-28T20:54:23.854236,15,FLOP,0,,public,I'm with you. Let's see the next cards together.,48,True
2025-10-28T20:54:43.685125,16,PREFLOP,0,,public,Saving for better spot.,23,False
2025-10-28T20:54:45.155348,16,PREFLOP,1,,public,I'm with you.,13,False
2025-10-28T20:54:56.426689,17,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T20:54:58.054581,17,PREFLOP,1,,public,I'm with you.,13,False
2025-10-28T20:55:21.331598,18,PREFLOP,1,,public,I'm with you!,13,False
2025-10-28T20:55:50.380848,18,PREFLOP,0,,public,I'm with you!,13,False
2025-10-28T20:56:04.562866,19,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T20:56:06.282785,19,PREFLOP,1,,public,I'm with you.,13,False
2025-10-28T20:56:10.903270,20,PREFLOP,0,,public,I'm with you!,13,False
2025-10-28T20:56:12.080502,20,PREFLOP,1,,public,I'm with you!,13,False
2025-10-28T20:56:14.363179,20,FLOP,1,,public,I'm with you!,13,False
2025-10-28T20:56:34.334130,21,PREFLOP,0,,public,"I'm with you, let's see the next card together!",47,True
2025-10-28T20:56:36.038749,21,PREFLOP,1,,public,"I'm with you, let's build this pot together!",44,True
2025-10-28T20:57:23.222525,21,FLOP,0,,public,"I'm with you, let's build this pot together!",44,True
2025-10-28T20:58:19.306934,22,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T20:58:49.821589,23,PREFLOP,0,,public,"I'm with you, let's see how this plays out.",43,True
2025-10-28T20:59:08.663774,23,PREFLOP,1,,public,"I'm with you, let's see how this plays out.",43,True
2025-10-28T20:59:10.635181,23,FLOP,0,,public,"I'm with you, let's see how this plays out.",43,True
2025-10-28T20:59:11.642258,23,FLOP,1,,public,"I'm with you, let's see how this plays out.",43,True
2025-10-28T20:59:16.182748,24,PREFLOP,0,,public,"I'm with you, let's see the flop together.",42,True
2025-10-28T20:59:26.492712,24,PREFLOP,1,,public,"I'm with you, let's see the flop together.",42,True
2025-10-28T20:59:38.248736,24,FLOP,1,,public,"I'm with you, let's keep building this pot.",43,True
2025-10-28T20:59:39.666911,25,PREFLOP,0,,public,"I'm with you, let's see the flop together!",42,True
2025-10-28T21:00:21.499322,26,PREFLOP,1,,public,I'm with you! Let's see the next card together.,47,True
2025-10-28T21:00:44.053023,26,PREFLOP,0,,public,Saving for better spot. Let's wait for a stronger hand!,55,True
2025-10-28T21:01:07.639727,27,PREFLOP,0,,public,I'm with you,12,False
