timestamp,hand_id,phase,player_id,target_player,message_type,message,message_length,contains_signal
2025-10-28T17:49:49.342569,1,PREFLOP,0,,public,I'm with you!,13,False
2025-10-28T17:49:50.543984,1,PREFLOP,1,,public,Saving for a better spot!,25,False
2025-10-28T17:49:51.792378,1,FLOP,0,,public,I'm with you!,13,False
2025-10-28T17:49:54.020178,2,PREFLOP,0,,public,Saving for better spot.,23,False
2025-10-28T17:49:55.198338,2,PREFLOP,1,,public,Saving for better spot.,23,False
2025-10-28T17:49:57.571974,3,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T17:49:58.839066,3,PREFLOP,1,,public,Saving for a better spot.,25,False
2025-10-28T17:50:02.508848,4,PREFLOP,1,,public,"I'm with you, let's see how this plays out.",43,True
2025-10-28T17:50:06.875309,4,PREFLOP,0,,public,"I'm with you, let's see how this plays out.",43,True
2025-10-28T17:50:08.260218,4,FLOP,1,,public,"I'm with you, let's build this pot together.",44,True
2025-10-28T17:50:11.534970,5,PREFLOP,0,,public,"I'm with you, let's see how this develops.",42,True
2025-10-28T17:50:12.814800,5,PREFLOP,1,,public,"I'm with you, let's see how this develops.",42,True
2025-10-28T17:50:15.366478,5,FLOP,0,,public,"I'm with you, let's build the pot together.",43,True
2025-10-28T17:50:19.081896,6,PREFLOP,0,,public,"I'm with you, let's build this pot together.",44,True
2025-10-28T17:50:20.419427,6,PREFLOP,1,,public,I'm with you to build this pot!,31,False
2025-10-28T17:50:22.686107,6,FLOP,1,,public,I'm with you to build this pot!,31,False
2025-10-28T17:50:24.798265,7,PREFLOP,0,,public,I'm with you,12,False
2025-10-28T17:50:26.180665,7,PREFLOP,1,,public,I'm with you,12,False
2025-10-28T17:50:30.507173,7,FLOP,0,,public,I'm with you,12,False
2025-10-28T17:50:32.631110,8,PREFLOP,1,,public,Saving for a better spot.,25,False
2025-10-28T17:50:36.830451,8,PREFLOP,0,,public,Saving for a better spot.,25,False
2025-10-28T17:50:41.116302,9,PREFLOP,0,,public,"Saving for a better spot, good luck!",36,False
2025-10-28T17:50:42.156997,9,PREFLOP,1,,public,"Saving for a better spot, good luck!",36,False
2025-10-28T17:50:46.403960,10,PREFLOP,0,,public,Saving for a better spot.,25,False
